region,Needed_unprotected_percent_convertible,new_managed,needed_managed
Africa_Eastern,20.25246544,72.8568424,52.60437696
Africa_Eastern,20.25246544,72.8568424,52.60437696
Africa_Eastern,20.25246544,72.8568424,52.60437696
Africa_Eastern,20.25246544,72.8568424,52.60437696
Africa_Eastern,20.25246544,72.8568424,52.60437696
Africa_Northern,117.6411023,28.272542,-89.3685603
Africa_Northern,117.6411023,28.272542,-89.3685603
Africa_Northern,117.6411023,28.272542,-89.3685603
Africa_Northern,117.6411023,28.272542,-89.3685603
Africa_Northern,117.6411023,28.272542,-89.3685603
Africa_Southern,8.395678437,83.07716577,74.68148733
Africa_Southern,8.395678437,83.07716577,74.68148733
Africa_Southern,8.395678437,83.07716577,74.68148733
Africa_Southern,8.395678437,83.07716577,74.68148733
Africa_Southern,8.395678437,83.07716577,74.68148733
Africa_Western,20.42040282,86.99710961,66.57670679
Africa_Western,20.42040282,86.99710961,66.57670679
Africa_Western,20.42040282,86.99710961,66.57670679
Africa_Western,20.42040282,86.99710961,66.57670679
Africa_Western,20.42040282,86.99710961,66.57670679
Argentina,18.08097072,55.74938595,37.66841523
Argentina,18.08097072,55.74938595,37.66841523
Argentina,18.08097072,55.74938595,37.66841523
Argentina,18.08097072,55.74938595,37.66841523
Argentina,18.08097072,55.74938595,37.66841523
Australia_NZ,0.935757773,55.66811119,54.73235342
Australia_NZ,0.935757773,55.66811119,54.73235342
Australia_NZ,0.935757773,55.66811119,54.73235342
Australia_NZ,0.935757773,55.66811119,54.73235342
Australia_NZ,0.935757773,55.66811119,54.73235342
Brazil,6.994999107,80.45034915,73.45535004
Brazil,6.994999107,80.45034915,73.45535004
Brazil,6.994999107,80.45034915,73.45535004
Brazil,6.994999107,80.45034915,73.45535004
Brazil,6.994999107,80.45034915,73.45535004
Canada,14.86344407,29.18413186,14.32068779
Canada,14.86344407,29.18413186,14.32068779
Canada,14.86344407,29.18413186,14.32068779
Canada,14.86344407,29.18413186,14.32068779
Canada,14.86344407,29.18413186,14.32068779
Central America and Caribbean,7.391868867,76.14924048,68.75737161
Central America and Caribbean,7.391868867,76.14924048,68.75737161
Central America and Caribbean,7.391868867,76.14924048,68.75737161
Central America and Caribbean,7.391868867,76.14924048,68.75737161
Central Asia,15.59598061,33.43433183,17.83835122
Central Asia,15.59598061,33.43433183,17.83835122
Central Asia,15.59598061,33.43433183,17.83835122
Central Asia,15.59598061,33.43433183,17.83835122
Central Asia,15.59598061,33.43433183,17.83835122
China,29.77707251,54.66944487,24.89237236
China,29.77707251,54.66944487,24.89237236
China,29.77707251,54.66944487,24.89237236
China,29.77707251,54.66944487,24.89237236
China,29.77707251,54.66944487,24.89237236
Colombia,7.276852115,78.9022209,71.62536879
Colombia,7.276852115,78.9022209,71.62536879
Colombia,7.276852115,78.9022209,71.62536879
Colombia,7.276852115,78.9022209,71.62536879
Colombia,7.276852115,78.9022209,71.62536879
EU-12,21.98227345,82.88978639,60.90751294
EU-12,21.98227345,82.88978639,60.90751294
EU-12,21.98227345,82.88978639,60.90751294
EU-12,21.98227345,82.88978639,60.90751294
EU-12,21.98227345,82.88978639,60.90751294
EU-15,-11.38230383,70.87481267,82.2571165
EU-15,-11.38230383,70.87481267,82.2571165
EU-15,-11.38230383,70.87481267,82.2571165
EU-15,-11.38230383,70.87481267,82.2571165
EU-15,-11.38230383,70.87481267,82.2571165
Europe_Eastern,39.37647592,89.38864943,50.01217351
Europe_Eastern,39.37647592,89.38864943,50.01217351
Europe_Eastern,39.37647592,89.38864943,50.01217351
Europe_Eastern,39.37647592,89.38864943,50.01217351
Europe_Eastern,39.37647592,89.38864943,50.01217351
Europe_Non_EU,29.97778316,86.21001145,56.23222829
