# File: ./example_outputs/basins235/Land_type_area_ha.csv
# Author: moirai
# Description: area (ha) for land cells in country X glu X land type X protected category X year
# Original source: hyde land use areas; reference veg; land cover; country raster; glu raster; hyde land area
# ----------
iso,glu_code,land_type,year,value
abw,143,1,2016,496
abw,143,2,2016,208
abw,143,11,2016,1385
abw,143,12,2016,615
abw,143,21,2016,1385
abw,143,22,2016,615
abw,143,31,2016,1446
abw,143,32,2016,1659
afg,52,901,2016,85
afg,52,902,2016,6531
afg,52,911,2016,91
afg,52,912,2016,5147
afg,52,921,2016,36
afg,52,922,2016,2241
afg,52,1001,2016,593045
afg,52,1002,2016,1135508
afg,52,1011,2016,273474
afg,52,1012,2016,820955
afg,52,1021,2016,1147729
afg,52,1022,2016,743569
afg,52,1031,2016,515
afg,52,1032,2016,1259
afg,52,1101,2016,3
afg,52,1102,2016,19516
afg,52,1111,2016,2
afg,52,1112,2016,14744
afg,52,1121,2016,1
afg,52,1122,2016,7853
afg,52,1132,2016,31
afg,52,1201,2016,565508
afg,52,1202,2016,1200162
afg,52,1211,2016,67165
afg,52,1212,2016,353725
afg,52,1221,2016,1092712
afg,52,1222,2016,1684796
afg,52,1231,2016,1529
afg,52,1232,2016,3013
afg,52,1401,2016,26324
afg,52,1402,2016,55802
afg,52,1411,2016,352
afg,52,1412,2016,213
afg,52,1421,2016,16026
afg,52,1422,2016,22783
afg,58,401,2016,1024
afg,58,402,2016,38069
afg,58,405,2016,455
afg,58,407,2016,29
afg,58,411,2016,1758
afg,58,412,2016,49451
afg,58,415,2016,1187
afg,58,417,2016,52
afg,58,421,2016,619
afg,58,422,2016,9104
afg,58,425,2016,396
afg,58,427,2016,12
afg,58,431,2016,13
afg,58,432,2016,195
afg,58,901,2016,1508
afg,58,902,2016,15826
afg,58,911,2016,2781
afg,58,912,2016,17488
afg,58,921,2016,333
afg,58,922,2016,2717
afg,58,931,2016,231
afg,58,932,2016,528
afg,58,1001,2016,637129
afg,58,1002,2016,2082802
afg,58,1003,2016,2508
afg,58,1005,2016,579
afg,58,1006,2016,1198
afg,58,1007,2016,789
afg,58,1011,2016,342827
afg,58,1012,2016,1864804
afg,58,1013,2016,1182
afg,58,1015,2016,435
afg,58,1016,2016,561
afg,58,1017,2016,287
afg,58,1021,2016,915838
afg,58,1022,2016,1150559
afg,58,1023,2016,3221
afg,58,1025,2016,1180
afg,58,1026,2016,3543
afg,58,1027,2016,2376
afg,58,1031,2016,1335
afg,58,1032,2016,11544
afg,58,1101,2016,8786
afg,58,1102,2016,26727
afg,58,1103,2016,1212
afg,58,1105,2016,2688
afg,58,1106,2016,1926
afg,58,1107,2016,4094
afg,58,1111,2016,4750
afg,58,1112,2016,28465
afg,58,1113,2016,387
afg,58,1115,2016,1301
afg,58,1116,2016,619
afg,58,1117,2016,1508
afg,58,1121,2016,16793
afg,58,1122,2016,48379
afg,58,1123,2016,1442
afg,58,1125,2016,4383
afg,58,1126,2016,2318
afg,58,1127,2016,6468
afg,58,1131,2016,20
afg,58,1132,2016,35
afg,58,1135,2016,38
afg,58,1137,2016,22
afg,58,1201,2016,1014260
afg,58,1202,2016,1041222
afg,58,1203,2016,4534
afg,58,1205,2016,1422
afg,58,1206,2016,41403
afg,58,1207,2016,18898
afg,58,1211,2016,167686
afg,58,1212,2016,511558
afg,58,1213,2016,161
afg,58,1215,2016,90
afg,58,1216,2016,182
afg,58,1217,2016,876
afg,58,1221,2016,2500337
afg,58,1222,2016,900807
afg,58,1223,2016,1532
afg,58,1225,2016,3662
afg,58,1226,2016,11759
afg,58,1227,2016,49573
afg,58,1231,2016,2501
afg,58,1232,2016,5465
afg,58,1233,2016,1
afg,58,1236,2016,24
afg,58,1301,2016,360231
afg,58,1302,2016,33045
afg,58,1303,2016,4
afg,58,1305,2016,16
afg,58,1306,2016,1039
afg,58,1307,2016,22151
afg,58,1311,2016,12505
afg,58,1312,2016,6573
afg,58,1317,2016,1
afg,58,1321,2016,725685
afg,58,1322,2016,78662
afg,58,1323,2016,9
afg,58,1325,2016,32
afg,58,1326,2016,2779
afg,58,1327,2016,30506
afg,58,1331,2016,238
afg,58,1332,2016,115
afg,58,1401,2016,370635
afg,58,1402,2016,125301
afg,58,1403,2016,491
afg,58,1405,2016,7
afg,58,1406,2016,96
afg,58,1407,2016,68
afg,58,1411,2016,9239
afg,58,1412,2016,17357
afg,58,1413,2016,16
afg,58,1415,2016,1
afg,58,1421,2016,274722
afg,58,1422,2016,57469
afg,58,1423,2016,210
afg,58,1425,2016,4
afg,58,1426,2016,38
afg,58,1427,2016,93
afg,58,1501,2016,340952
afg,58,1502,2016,2184
afg,58,1505,2016,15
afg,58,1507,2016,20236
afg,58,1511,2016,497
afg,58,1512,2016,25
afg,58,1517,2016,1
afg,58,1521,2016,294914
afg,58,1522,2016,4493
afg,58,1525,2016,17
afg,58,1527,2016,9285
afg,89,901,2016,665
afg,89,902,2016,1040
afg,89,911,2016,895
afg,89,912,2016,1399
afg,89,921,2016,1129
afg,89,922,2016,1764
afg,89,931,2016,90
afg,89,932,2016,140
afg,89,1001,2016,161511
afg,89,1002,2016,143850
afg,89,1011,2016,71414
afg,89,1012,2016,145348
afg,89,1021,2016,58506
afg,89,1022,2016,77086
afg,89,1031,2016,23
afg,89,1032,2016,274
afg,89,1101,2016,1888
afg,89,1102,2016,4199
afg,89,1111,2016,2441
afg,89,1112,2016,4772
afg,89,1121,2016,269
afg,89,1122,2016,533
afg,89,1201,2016,674648
afg,89,1202,2016,779126
afg,89,1211,2016,261098
afg,89,1212,2016,721677
afg,89,1221,2016,1698547
afg,89,1222,2016,1903805
afg,89,1231,2016,4868
afg,89,1232,2016,16388
afg,89,1301,2016,109354
afg,89,1302,2016,26941
afg,89,1311,2016,20586
afg,89,1312,2016,8896
afg,89,1321,2016,229776
afg,89,1322,2016,44010
afg,89,1401,2016,31868
afg,89,1402,2016,18405
afg,89,1411,2016,2153
afg,89,1412,2016,1311
afg,89,1421,2016,37937
afg,89,1422,2016,24770
afg,89,1501,2016,84439
afg,89,1502,2016,617
afg,89,1511,2016,42
afg,89,1521,2016,22005
afg,89,1522,2016,268
afg,90,1001,2016,293905
afg,90,1002,2016,52505
afg,90,1011,2016,92519
afg,90,1012,2016,19064
afg,90,1021,2016,558335
afg,90,1022,2016,98530
afg,90,1031,2016,241
afg,90,1032,2016,71
afg,90,1201,2016,715049
afg,90,1202,2016,377838
afg,90,1205,2016,452
afg,90,1207,2016,1834
afg,90,1211,2016,179579
afg,90,1212,2016,89493
afg,90,1215,2016,32
afg,90,1217,2016,116
afg,90,1221,2016,1520114
afg,90,1222,2016,599637
afg,90,1225,2016,154
afg,90,1227,2016,630
afg,90,1231,2016,485
afg,90,1232,2016,761
afg,90,1401,2016,354281
afg,90,1402,2016,57343
afg,90,1405,2016,1146
afg,90,1407,2016,5074
afg,90,1411,2016,1502
afg,90,1412,2016,290
afg,90,1415,2016,43
afg,90,1417,2016,127
afg,90,1421,2016,140830
afg,90,1422,2016,21819
afg,90,1425,2016,566
afg,90,1427,2016,2198
afg,97,1001,2016,167518
afg,97,1002,2016,27057
afg,97,1011,2016,39958
afg,97,1012,2016,7182
afg,97,1021,2016,521452
afg,97,1022,2016,79094
afg,97,1031,2016,192
afg,97,1032,2016,39
afg,97,1201,2016,3465610
afg,97,1202,2016,2870683
afg,97,1205,2016,1277
afg,97,1207,2016,8182
afg,97,1211,2016,611619
afg,97,1212,2016,644762
afg,97,1215,2016,194
afg,97,1217,2016,1362
afg,97,1221,2016,5460453
afg,97,1222,2016,2542442
afg,97,1225,2016,438
afg,97,1227,2016,2707
afg,97,1231,2016,3420
afg,97,1232,2016,4165
afg,97,1401,2016,3360512
afg,97,1402,2016,768719
afg,97,1405,2016,5119
afg,97,1407,2016,19005
afg,97,1411,2016,77305
afg,97,1412,2016,98111
afg,97,1415,2016,820
afg,97,1417,2016,2291
afg,97,1421,2016,1438528
afg,97,1422,2016,316769
afg,97,1425,2016,1969
afg,97,1427,2016,7789
afg,97,1431,2016,1134
afg,97,1432,2016,3816
afg,102,1201,2016,146437
afg,102,1202,2016,1109390
afg,102,1211,2016,5648
afg,102,1212,2016,207300
afg,102,1221,2016,58356
afg,102,1222,2016,429290
afg,102,1401,2016,88001
