region,Needed_unprotected_percent_convertible,new_managed,needed_managed
Africa_Eastern,20.25246544,72.8568424,93.10930784
Africa_Eastern,20.25246544,72.8568424,93.10930784
Africa_Eastern,20.25246544,72.8568424,93.10930784
Africa_Eastern,20.25246544,72.8568424,93.10930784
Africa_Eastern,20.25246544,72.8568424,93.10930784
Africa_Northern,117.6411023,28.272542,145.9136443
Africa_Northern,117.6411023,28.272542,145.9136443
Africa_Northern,117.6411023,28.272542,145.9136443
Africa_Northern,117.6411023,28.272542,145.9136443
Africa_Northern,117.6411023,28.272542,145.9136443
Africa_Southern,8.395678437,83.07716577,91.47284421
Africa_Southern,8.395678437,83.07716577,91.47284421
Africa_Southern,8.395678437,83.07716577,91.47284421
Africa_Southern,8.395678437,83.07716577,91.47284421
Africa_Southern,8.395678437,83.07716577,91.47284421
Africa_Western,20.42040282,86.99710961,107.4175124
Africa_Western,20.42040282,86.99710961,107.4175124
Africa_Western,20.42040282,86.99710961,107.4175124
Africa_Western,20.42040282,86.99710961,107.4175124
Africa_Western,20.42040282,86.99710961,107.4175124
Argentina,18.08097072,55.74938595,73.83035667
Argentina,18.08097072,55.74938595,73.83035667
Argentina,18.08097072,55.74938595,73.83035667
Argentina,18.08097072,55.74938595,73.83035667
Argentina,18.08097072,55.74938595,73.83035667
Australia_NZ,0.935757773,55.66811119,56.60386896
Australia_NZ,0.935757773,55.66811119,56.60386896
Australia_NZ,0.935757773,55.66811119,56.60386896
Australia_NZ,0.935757773,55.66811119,56.60386896
Australia_NZ,0.935757773,55.66811119,56.60386896
Brazil,6.994999107,80.45034915,87.44534825
Brazil,6.994999107,80.45034915,87.44534825
Brazil,6.994999107,80.45034915,87.44534825
Brazil,6.994999107,80.45034915,87.44534825
Brazil,6.994999107,80.45034915,87.44534825
Canada,14.86344407,29.18413186,44.04757593
Canada,14.86344407,29.18413186,44.04757593
Canada,14.86344407,29.18413186,44.04757593
Canada,14.86344407,29.18413186,44.04757593
Canada,14.86344407,29.18413186,44.04757593
Central America and Caribbean,7.391868867,76.14924048,83.54110934
Central America and Caribbean,7.391868867,76.14924048,83.54110934
Central America and Caribbean,7.391868867,76.14924048,83.54110934
Central America and Caribbean,7.391868867,76.14924048,83.54110934
Central Asia,15.59598061,33.43433183,49.03031244
Central Asia,15.59598061,33.43433183,49.03031244
Central Asia,15.59598061,33.43433183,49.03031244
Central Asia,15.59598061,33.43433183,49.03031244
Central Asia,15.59598061,33.43433183,49.03031244
China,29.77707251,54.66944487,84.44651738
China,29.77707251,54.66944487,84.44651738
China,29.77707251,54.66944487,84.44651738
China,29.77707251,54.66944487,84.44651738
China,29.77707251,54.66944487,84.44651738
Colombia,7.276852115,78.9022209,86.17907302
Colombia,7.276852115,78.9022209,86.17907302
Colombia,7.276852115,78.9022209,86.17907302
Colombia,7.276852115,78.9022209,86.17907302
Colombia,7.276852115,78.9022209,86.17907302
EU-12,21.98227345,82.88978639,104.8720598
EU-12,21.98227345,82.88978639,104.8720598
EU-12,21.98227345,82.88978639,104.8720598
EU-12,21.98227345,82.88978639,104.8720598
EU-12,21.98227345,82.88978639,104.8720598
EU-15,-11.38230383,70.87481267,59.49250884
EU-15,-11.38230383,70.87481267,59.49250884
EU-15,-11.38230383,70.87481267,59.49250884
EU-15,-11.38230383,70.87481267,59.49250884
EU-15,-11.38230383,70.87481267,59.49250884
Europe_Eastern,39.37647592,89.38864943,128.7651254
Europe_Eastern,39.37647592,89.38864943,128.7651254
Europe_Eastern,39.37647592,89.38864943,128.7651254
Europe_Eastern,39.37647592,89.38864943,128.7651254
Europe_Eastern,39.37647592,89.38864943,128.7651254
Europe_Non_EU,29.97778316,86.21001145,116.1877946
Europe_Non_EU,29.97778316,86.21001145,116.1877946
Europe_Non_EU,29.97778316,86.21001145,116.1877946
Europe_Non_EU,29.97778316,86.21001145,116.1877946
Europe_Non_EU,29.97778316,86.21001145,116.1877946
European Free Trade Association,5.528594304,52.64295705,58.17155136
European Free Trade Association,5.528594304,52.64295705,58.17155136
European Free Trade Association,5.528594304,52.64295705,58.17155136
European Free Trade Association,5.528594304,52.64295705,58.17155136
European Free Trade Association,5.528594304,52.64295705,58.17155136
Global,15.74963376,60.17297748,75.92261124
Global,15.74963376,60.17297748,75.92261124
Global,15.74963376,60.17297748,75.92261124
Global,15.74963376,60.17297748,75.92261124
Global,15.74963376,60.17297748,75.92261124
India,47.92787331,84.54436512,132.4722384
India,47.92787331,84.54436512,132.4722384
India,47.92787331,84.54436512,132.4722384
India,47.92787331,84.54436512,132.4722384
India,47.92787331,84.54436512,132.4722384
Indonesia,15.26796788,81.3058071,96.57377498
Indonesia,15.26796788,81.3058071,96.57377498
Indonesia,15.26796788,81.3058071,96.57377498
Japan,-4.509871848,66.18617567,61.67630382
Japan,-4.509871848,66.18617567,61.67630382
Japan,-4.509871848,66.18617567,61.67630382
Japan,-4.509871848,66.18617567,61.67630382
Japan,-4.509871848,66.18617567,61.67630382
Mexico,12.98376149,79.68360351,92.667365
Mexico,12.98376149,79.68360351,92.667365
Mexico,12.98376149,79.68360351,92.667365
Mexico,12.98376149,79.68360351,92.667365
Mexico,12.98376149,79.68360351,92.667365
Middle East,23.89956546,41.76786743,65.66743289
Middle East,23.89956546,41.76786743,65.66743289
Middle East,23.89956546,41.76786743,65.66743289
Middle East,23.89956546,41.76786743,65.66743289
Middle East,23.89956546,41.76786743,65.66743289
Pakistan,53.01547446,75.42325024,128.4387247
Pakistan,53.01547446,75.42325024,128.4387247
Pakistan,53.01547446,75.42325024,128.4387247
Pakistan,53.01547446,75.42325024,128.4387247
Pakistan,53.01547446,75.42325024,128.4387247
Russia,17.65766227,28.23556258,45.89322485
Russia,17.65766227,28.23556258,45.89322485
Russia,17.65766227,28.23556258,45.89322485
Russia,17.65766227,28.23556258,45.89322485
Russia,17.65766227,28.23556258,45.89322485
South Africa,23.89639737,73.46503867,97.36143604
South Africa,23.89639737,73.46503867,97.36143604
South Africa,23.89639737,73.46503867,97.36143604
South Africa,23.89639737,73.46503867,97.36143604
South Africa,23.89639737,73.46503867,97.36143604
South America_Northern,-12.39195159,61.21557563,48.82362404
South America_Northern,-12.39195159,61.21557563,48.82362404
South America_Northern,-12.39195159,61.21557563,48.82362404
South America_Northern,-12.39195159,61.21557563,48.82362404
South America_Northern,-12.39195159,61.21557563,48.82362404
South America_Southern,14.83480946,79.35451612,94.18932558
South America_Southern,14.83480946,79.35451612,94.18932558
South America_Southern,14.83480946,79.35451612,94.18932558
South America_Southern,14.83480946,79.35451612,94.18932558
South America_Southern,14.83480946,79.35451612,94.18932558
South Asia,21.70020588,50.22032371,71.92052959
South Asia,21.70020588,50.22032371,71.92052959
South Asia,21.70020588,50.22032371,71.92052959
South Asia,21.70020588,50.22032371,71.92052959
South Asia,21.70020588,50.22032371,71.92052959
South Korea,12.23215769,76.73610088,88.96825857
South Korea,12.23215769,76.73610088,88.96825857
South Korea,12.23215769,76.73610088,88.96825857
South Korea,12.23215769,76.73610088,88.96825857
Southeast Asia,15.39575541,82.5712388,97.96699421
Southeast Asia,15.39575541,82.5712388,97.96699421
Southeast Asia,15.39575541,82.5712388,97.96699421
Southeast Asia,15.39575541,82.5712388,97.96699421
Southeast Asia,15.39575541,82.5712388,97.96699421
Taiwan,3.728740045,58.51755737,62.24629742
Taiwan,3.728740045,58.51755737,62.24629742
Taiwan,3.728740045,58.51755737,62.24629742
Taiwan,3.728740045,58.51755737,62.24629742
USA,11.11069666,64.97536419,76.08606085
USA,11.11069666,64.97536419,76.08606085
USA,11.11069666,64.97536419,76.08606085
USA,11.11069666,64.97536419,76.08606085
USA,11.11069666,64.97536419,76.08606085
