# File: ./outputs/basins235_test_carbon_update2/MOIRAI_ctry_GLU.csv
# Description: Mapping from LDS-based country+GLU dataset to iso
# Original source: GCAM iso to region mapping and the new country+GLUs from moirai
# ----------
country_code,glu,iso,fao_country_name,glu_name
22,143,abw,Aruba,Caribbean_Coast
2,52,afg,Afghanistan,Caspian_Sea_East_Coast
2,58,afg,Afghanistan,Amu_Darya
2,89,afg,Afghanistan,Indus
2,90,afg,Afghanistan,Farahrud
2,97,afg,Afghanistan,Helmand
2,102,afg,Afghanistan,HamuniMashkel
7,162,ago,Angola,Gulf_of_Guinea
7,182,ago,Angola,Angola_Coast
7,183,ago,Angola,Congo
7,188,ago,Angola,Zambezi
7,197,ago,Angola,Africa_South_Interior
258,101,aia,Anguilla,Caribbean
3,54,alb,Albania,Danube
3,55,alb,Albania,Adriatic_Sea_Greece_Black_Sea_Coast
6,73,and,Andorra,Ebro
151,143,ant,NetherlandsAntilles,Caribbean_Coast
225,94,are,UnitedArabEmirates,Arabian_Peninsula
9,169,arg,Argentina,South_Chile_Pacific_Coast
9,200,arg,Argentina,La_Puna_Region
9,203,arg,Argentina,Mar_Chiquita
9,205,arg,Argentina,Salinas_Grandes
9,206,arg,Argentina,La_Plata
9,207,arg,Argentina,North_Chile_Pacific_Coast
9,209,arg,Argentina,Pampas_Region
9,210,arg,Argentina,North_Argentina_South_Atlantic_Coast
9,212,arg,Argentina,South_America_Colorado
9,213,arg,Argentina,Negro
9,214,arg,Argentina,Central_Patagonia_Highlands
9,215,arg,Argentina,South_Argentina_South_Atlantic_Coast
1,72,arm,Armenia,Caspian_Sea_South_West_Coast
5,185,asm,AmericanSamoa,South_Pacific_Islands
8,101,atg,AntiguaandBarbuda,Caribbean
10,184,aus,Australia,Australia_North_Coast
10,189,aus,Australia,Australia_East_Coast
10,191,aus,Australia,Australia_West_Coast
10,193,aus,Australia,Australia_Interior
10,202,aus,Australia,Australia_South_Coast
10,208,aus,Australia,Murray_Darling
10,211,aus,Australia,Tasmania
11,31,aut,Austria,Elbe
11,32,aut,Austria,Rhine
11,50,aut,Austria,Italy_East_Coast
11,54,aut,Austria,Danube
11,57,aut,Austria,Po
52,45,aze,Azerbaijan,Caspian_Sea_Coast
52,72,aze,Azerbaijan,Caspian_Sea_South_West_Coast
29,87,bdi,Burundi,Nile
29,183,bdi,Burundi,Congo
255,32,bel,Belgium,Rhine
255,36,bel,Belgium,Scheldt
255,41,bel,Belgium,France_West_Coast
255,46,bel,Belgium,Seine
