region,agg.land,available,Needed_unprotected_percent_convertible,new_unmanaged
Africa_Eastern,(d) Forests (Unmanaged),74.52754512,20.25246544,54.27507968
Africa_Eastern,(g) Shrubland,54.60707816,20.25246544,34.35461272
Africa_Eastern,(e) Grassland,76.01108614,20.25246544,55.7586207
Africa_Northern,(g) Shrubland,44.949075,117.6411023,-72.6920273
Africa_Northern,(e) Grassland,27.0305137,117.6411023,-90.6105886
Africa_Southern,(d) Forests (Unmanaged),89.95533578,8.395678437,81.55965734
Africa_Southern,(g) Shrubland,48.36615833,8.395678437,39.97047989
Africa_Southern,(e) Grassland,85.07785799,8.395678437,76.68217955
Africa_Western,(d) Forests (Unmanaged),90.89550783,20.42040282,70.47510501
Africa_Western,(g) Shrubland,51.27699257,20.42040282,30.85658975
Africa_Western,(e) Grassland,87.39299891,20.42040282,66.97259609
Argentina,(d) Forests (Unmanaged),77.00040212,18.08097072,58.9194314
Argentina,(g) Shrubland,89.15160248,18.08097072,71.07063176
Argentina,(e) Grassland,50.61867072,18.08097072,32.5377
Australia_NZ,(d) Forests (Unmanaged),54.68380177,0.935757773,53.748044
Australia_NZ,(g) Shrubland,34.45678386,0.935757773,33.52102609
Australia_NZ,(e) Grassland,66.12616977,0.935757773,65.190412
Brazil,(d) Forests (Unmanaged),73.3673991,6.994999107,66.37239999
Brazil,(g) Shrubland,86.90584717,6.994999107,79.91084806
Brazil,(e) Grassland,90.30705906,6.994999107,83.31205995
Canada,(d) Forests (Unmanaged),36.96518432,14.86344407,22.10174025
Canada,(g) Shrubland,1.849705609,14.86344407,-13.01373846
Canada,(e) Grassland,24.49377423,14.86344407,9.630330159
Central America and Caribbean,(d) Forests (Unmanaged),70.46199647,7.391868867,63.0701276
Central America and Caribbean,(g) Shrubland,68.2723453,7.391868867,60.88047643
Central America and Caribbean,(e) Grassland,84.6849175,7.391868867,77.29304863
Central Asia,(d) Forests (Unmanaged),60.19669982,15.59598061,44.60071921
Central Asia,(g) Shrubland,20.79034384,15.59598061,5.194363227
Central Asia,(e) Grassland,35.040668,15.59598061,19.44468739
China,(d) Forests (Unmanaged),89.5998001,29.77707251,59.82272759
China,(g) Shrubland,39.44911229,29.77707251,9.672039783
China,(e) Grassland,47.85201932,29.77707251,18.07494681
Colombia,(d) Forests (Unmanaged),77.33950349,7.276852115,70.06265138
Colombia,(g) Shrubland,60.88694259,7.276852115,53.61009048
Colombia,(e) Grassland,81.52933245,7.276852115,74.25248034
EU-12,(d) Forests (Unmanaged),80.61685407,21.98227345,58.63458062
EU-12,(g) Shrubland,82.60264139,21.98227345,60.62036794
EU-12,(e) Grassland,84.66473228,21.98227345,62.68245883
EU-15,(d) Forests (Unmanaged),71.57099424,-11.38230383,82.95329807
EU-15,(g) Shrubland,67.46402495,-11.38230383,78.84632878
EU-15,(e) Grassland,71.25444135,-11.38230383,82.63674518
Europe_Eastern,(d) Forests (Unmanaged),87.49011196,39.37647592,48.11363604
Europe_Eastern,(g) Shrubland,86.42810451,39.37647592,47.05162859
Europe_Eastern,(e) Grassland,91.22133098,39.37647592,51.84485506
Europe_Non_EU,(d) Forests (Unmanaged),85.21199763,29.97778316,55.23421447
Europe_Non_EU,(g) Shrubland,86.1119907,29.97778316,56.13420754
Europe_Non_EU,(e) Grassland,86.57333714,29.97778316,56.59555398
European Free Trade Association,(d) Forests (Unmanaged),65.91248749,5.528594304,60.38389319
European Free Trade Association,(g) Shrubland,1.704969689,5.528594304,-3.823624615
European Free Trade Association,(e) Grassland,38.99805877,5.528594304,33.46946447
Global,(d) Forests (Unmanaged),64.84509485,15.74962665,49.0954682
Global,(g) Shrubland,36.99808044,15.74962665,21.24845379
Global,(e) Grassland,63.10297475,15.74962665,47.3533481
India,(d) Forests (Unmanaged),88.58385369,47.92787331,40.65598038
India,(g) Shrubland,81.200283,47.92787331,33.27240969
India,(e) Grassland,82.1755467,47.92787331,34.24767339
Indonesia,(d) Forests (Unmanaged),83.19110719,15.26796788,67.92313931
Indonesia,(e) Grassland,74.6164295,15.26796788,59.34846162
