fuel,fuel_name
a oil,(a) oil
b natural gas,(b) natural gas
c coal,(c) coal
d biomass,(d) biomass
e nuclear,(e) nuclear
f hydro,(f) hydro
g wind,(g) wind
h solar,(h) solar
i geothermal,(i) geothermal
j traditional biomass,(j) traditional biomass
k traded coal,(k) traded coal
l traded natural gas,(l) traded natural gas
m traded oil,(m) traded oil
n total energy,(n) total energy
