Subsector,Criteria for share threshold,Share,Fuel preference elasticity
biomass,greater than,0.5,-0.7
gas,lesser than,0.2,0.1
gas,lesser than,0.1,0.3
electricity,lesser than,0.2,0.1
electricity,lesser than,0.1,0.3
