"Region","Land_cover","Cover_area_ha","Unmanaged_area_ha","Convertible_area_ha","Low_avail_area_ha","High_avail_area_ha","Low_avail_percent_convtertible","High_avail_percent_convtertible","Low_avail_cover_percent_convtertible","High_avail_cover_percent_convtertible","Other_percent_unmanaged","Unknown_percent_unmanaged"
"Africa_Eastern","Forest",126458.769199999,475889782.3192,383969434.3192,279748005.620622,314912193.505487,72.8568423985704,82.014911958772,74.5275451162047,96.7484454802318,,
"Africa_Eastern","Shrubland",56575646,475889782.3192,383969434.3192,279748005.620622,314912193.505487,72.8568423985704,82.014911958772,54.6070781639994,72.7641128588749,,
"Africa_Eastern","Grassland",327267329.55,475889782.3192,383969434.3192,279748005.620622,314912193.505487,72.8568423985704,82.014911958772,76.0110861396997,83.6084310897372,,
"Africa_Eastern","Other",91444174,475889782.3192,383969434.3192,279748005.620622,314912193.505487,72.8568423985704,82.014911958772,,,19.2154102478007,
"Africa_Eastern","Unknown",476174,475889782.3192,383969434.3192,279748005.620622,314912193.505487,72.8568423985704,82.014911958772,,,,0.100059723425751
"Africa_Northern","Forest",0,540243505.6,82232826.6,23249310.4413748,23623495.069286,28.272542003773,28.7275727298008,,,,
"Africa_Northern","Shrubland",5699983.2,540243505.6,82232826.6,23249310.4413748,23623495.069286,28.272542003773,28.7275727298008,44.9490750015016,46.8685311930506,,
"Africa_Northern","Grassland",76532843.4,540243505.6,82232826.6,23249310.4413748,23623495.069286,28.272542003773,28.7275727298008,27.0305136967299,27.3764775152667,,
"Africa_Northern","Other",457742712,540243505.6,82232826.6,23249310.4413748,23623495.069286,28.272542003773,28.7275727298008,,,84.7289615247899,
"Africa_Northern","Unknown",267967,540243505.6,82232826.6,23249310.4413748,23623495.069286,28.272542003773,28.7275727298008,,,,0.0496011515589425
"Africa_Southern","Forest",51441146.774,498811459.19506,483291209.61506,401504639.382126,459065331.601771,83.0771657738039,94.9873125082111,89.9553357826332,99.4756717297674,,
"Africa_Southern","Shrubland",33172531.45106,498811459.19506,483291209.61506,401504639.382126,459065331.601771,83.0771657738039,94.9873125082111,48.3661583349744,56.8862880366075,,
"Africa_Southern","Grassland",398677531.39,498811459.19506,483291209.61506,401504639.382126,459065331.601771,83.0771657738039,94.9873125082111,85.0778579879372,97.5784319111775,,
"Africa_Southern","Other",15373908.58,498811459.19506,483291209.61506,401504639.382126,459065331.601771,83.0771657738039,94.9873125082111,,,3.08210813857587,
"Africa_Southern","Unknown",146341,498811459.19506,483291209.61506,401504639.382126,459065331.601771,83.0771657738039,94.9873125082111,,,,0.0293379386744949
"Africa_Western","Forest",205987790.7295,969093522.9665,700405616.9665,609332642.287078,665115374.835112,86.9971096071638,94.9614564365956,90.895507829147,98.7606584392001,,
"Africa_Western","Shrubland",27654142,969093522.9665,700405616.9665,609332642.287078,665115374.835112,86.9971096071638,94.9614564365956,51.2769925690909,59.9960852285275,,
"Africa_Western","Grassland",466763684.237,969093522.9665,700405616.9665,609332642.287078,665115374.835112,86.9971096071638,94.9614564365956,87.392998914618,95.3564060002498,,
"Africa_Western","Other",267829155,969093522.9665,700405616.9665,609332642.287078,665115374.835112,86.9971096071638,94.9614564365956,,,27.6370802871684,
"Africa_Western","Unknown",858751,969093522.9665,700405616.9665,609332642.287078,665115374.835112,86.9971096071638,94.9614564365956,,,,0.0886138416621824
"Argentina","Forest",13915822.608,218312792.5511,202307540.5361,112785211.582888,119004666.503301,55.7493859517127,58.8236435418804,77.0004021179514,85.8190555420454,,
"Argentina","Shrubland",17410014.09,218312792.5511,202307540.5361,112785211.582888,119004666.503301,55.7493859517127,58.8236435418804,89.15160248076,92.710691489591,,
"Argentina","Grassland",170981703.8381,218312792.5511,202307540.5361,112785211.582888,119004666.503301,55.7493859517127,58.8236435418804,50.6186707235633,53.1760372472522,,
"Argentina","Other",15963341.015,218312792.5511,202307540.5361,112785211.582888,119004666.503301,55.7493859517127,58.8236435418804,,,7.31214182570794,
"Argentina","Unknown",41911,218312792.5511,202307540.5361,112785211.582888,119004666.503301,55.7493859517127,58.8236435418804,,,,0.019197683979142
"Australia_NZ","Forest",16184171.19,718016319.89,715958658.59,398560662.128672,502524579.842691,55.6681111886533,70.1890498583195,54.6838017702634,89.9028273833466,,
"Australia_NZ","Shrubland",230580800.4,718016319.89,715958658.59,398560662.128672,502524579.842691,55.6681111886533,70.1890498583195,34.4567838628899,54.7270552345734,,
"Australia_NZ","Grassland",469193687,718016319.89,715958658.59,398560662.128672,502524579.842691,55.6681111886533,70.1890498583195,66.1261697695908,77.1077020819102,,
"Australia_NZ","Other",1403492.3,718016319.89,715958658.59,398560662.128672,502524579.842691,55.6681111886533,70.1890498583195,,,0.195468022260972,
"Australia_NZ","Unknown",654169,718016319.89,715958658.59,398560662.128672,502524579.842691,55.6681111886533,70.1890498583195,,,,0.0911078177304129
"Brazil","Forest",392725427.5,695671455.665,694535514.665,558756246.484863,673443697.07255,80.4503491451221,96.9631765191124,73.3673990987447,97.3466201348938,,
"Brazil","Shrubland",56803250.975,695671455.665,694535514.665,558756246.484863,673443697.07255,80.4503491451221,96.9631765191124,86.9058471720328,95.3911193876656,,
"Brazil","Grassland",245006836.19,695671455.665,694535514.665,558756246.484863,673443697.07255,80.4503491451221,96.9631765191124,90.3070590552926,96.7130198169634,,
"Brazil","Other",761083,695671455.665,694535514.665,558756246.484863,673443697.07255,80.4503491451221,96.9631765191124,,,0.109402648880063,
"Brazil","Unknown",374858,695671455.665,694535514.665,558756246.484863,673443697.07255,80.4503491451221,96.9631765191124,,,,0.0538843439597028
"Canada","Forest",386756485.94,842310308.5222,601536874.5222,175553314.645604,192560944.678625,29.1841318597544,32.0114946954126,36.9651843151654,40.5112682897801,,
"Canada","Shrubland",88410599,842310308.5222,601536874.5222,175553314.645604,192560944.678625,29.1841318597544,32.0114946954126,1.84970560853868,2.17236245509784,,
"Canada","Grassland",126369789.5822,842310308.5222,601536874.5222,175553314.645604,192560944.678625,29.1841318597544,32.0114946954126,24.4937742328416,26.8738188807795,,
"Canada","Other",239692824,842310308.5222,601536874.5222,175553314.645604,192560944.678625,29.1841318597544,32.0114946954126,,,28.4565939149589,
"Canada","Unknown",1080610,842310308.5222,601536874.5222,175553314.645604,192560944.678625,29.1841318597544,32.0114946954126,,,,0.128291199700012
"Central America and Caribbean","Forest",29018790,50890493.837,49228456.837,37487095.9803834,46549244.4147838,76.1492404779346,94.5575941348572,70.4619964723087,94.6839447795763,,
"Central America and Caribbean","Shrubland",454910.377,50890493.837,49228456.837,37487095.9803834,46549244.4147838,76.1492404779346,94.5575941348572,68.2723453026121,91.4137717218794,,
"Central America and Caribbean","Grassland",19754756.46,50890493.837,49228456.837,37487095.9803834,46549244.4147838,76.1492404779346,94.5575941348572,84.6849175020093,94.4443866958849,,
"Central America and Caribbean","Unknown",1662037,50890493.837,49228456.837,37487095.9803834,46549244.4147838,76.1492404779346,94.5575941348572,,,,3.26590857090802
"Central Asia","Forest",3067101.19436,518886979.07436,487027937.96436,162834536.891524,169642971.004739,33.4343318315838,34.832287386592,60.1966998236282,67.3249313236109,,
"Central Asia","Shrubland",60313483.1,518886979.07436,487027937.96436,162834536.891524,169642971.004739,33.4343318315838,34.832287386592,20.7903438391855,23.3985560493909,,
"Central Asia","Grassland",423647353.67,518886979.07436,487027937.96436,162834536.891524,169642971.004739,33.4343318315838,34.832287386592,35.0406679962466,36.2248369437612,,
"Central Asia","Other",31242372.11,518886979.07436,487027937.96436,162834536.891524,169642971.004739,33.4343318315838,34.832287386592,,,6.02103605793561,
"Central Asia","Unknown",616669,518886979.07436,487027937.96436,162834536.891524,169642971.004739,33.4343318315838,34.832287386592,,,,0.118844570179825
"China","Forest",113088620.18,730882290.483,620467200.483,339205974.111185,339581356.803615,54.6694448710796,54.729944876904,89.5998001026673,89.6726498602035,,
"China","Shrubland",58457148,730882290.483,620467200.483,339205974.111185,339581356.803615,54.6694448710796,54.729944876904,39.4491122886493,39.6797675485129,,
"China","Grassland",448921432.303,730882290.483,620467200.483,339205974.111185,339581356.803615,54.6694448710796,54.729944876904,47.8520193241267,47.8872511951891,,
"China","Other",110068271,730882290.483,620467200.483,339205974.111185,339581356.803615,54.6694448710796,54.729944876904,,,15.0596439992084,
"China","Unknown",346819,730882290.483,620467200.483,339205974.111185,339581356.803615,54.6694448710796,54.729944876904,,,,0.0474521006345367
"Colombia","Forest",58761824,105667616,105036134.5,82875842.8712457,95579910.6427966,78.9022209030795,90.9971707334647,77.3395034903176,94.5086789451873,,
"Colombia","Shrubland",1440707.7,105667616,105036134.5,82875842.8712457,95579910.6427966,78.9022209030795,90.9971707334647,60.8869425907164,77.6124308166358,,
"Colombia","Grassland",44833602.8,105667616,105036134.5,82875842.8712457,95579910.6427966,78.9022209030795,90.9971707334647,81.5293324532741,86.82487321623,,
"Colombia","Other",542558.5,105667616,105036134.5,82875842.8712457,95579910.6427966,78.9022209030795,90.9971707334647,,,0.51345768981861,
"Colombia","Unknown",88923,105667616,105036134.5,82875842.8712457,95579910.6427966,78.9022209030795,90.9971707334647,,,,0.0841535026208976
"EU-12","Forest",24942666.915,57537795.328,57377462.328,47560055.9581516,53617793.5641268,82.8897863873329,93.4474816219983,80.6168540715846,92.6643028005284,,
"EU-12","Shrubland",425302.89,57537795.328,57377462.328,47560055.9581516,53617793.5641268,82.8897863873329,93.4474816219983,82.6026413945691,88.2509279409025,,
"EU-12","Grassland",32009492.523,57537795.328,57377462.328,47560055.9581516,53617793.5641268,82.8897863873329,93.4474816219983,84.6647322796021,94.126801288244,,
"EU-12","Other",2612,57537795.328,57377462.328,47560055.9581516,53617793.5641268,82.8897863873329,93.4474816219983,,,0.00453962475466783,
"EU-12","Unknown",157721,57537795.328,57377462.328,47560055.9581516,53617793.5641268,82.8897863873329,93.4474816219983,,,,0.274117211305883
"EU-15","Forest",59019712.1,404694059.8934,191941995.8534,136038529.992054,159027479.068241,70.8748126678626,82.8518419646433,71.570994240217,80.7421131280986,,
"EU-15","Shrubland",24152899.748,404694059.8934,191941995.8534,136038529.992054,159027479.068241,70.8748126678626,82.8518419646433,67.4640249547234,78.7225487157212,,
"EU-15","Grassland",108769384.0054,404694059.8934,191941995.8534,136038529.992054,159027479.068241,70.8748126678626,82.8518419646433,71.2544413483508,84.9135433934398,,
"EU-15","Other",210485250.04,404694059.8934,191941995.8534,136038529.992054,159027479.068241,70.8748126678626,82.8518419646433,,,52.0109561517764,
"EU-15","Unknown",2266814,404694059.8934,191941995.8534,136038529.992054,159027479.068241,70.8748126678626,82.8518419646433,,,,0.56013028720933
"Europe_Eastern","Forest",16738339.02,35698944.861,35199406.861,31464274.4015115,33286760.0952088,89.3886494331046,94.5662528537935,87.4901119625841,95.055552712281,,
"Europe_Eastern","Shrubland",428708,35698944.861,35199406.861,31464274.4015115,33286760.0952088,89.3886494331046,94.5662528537935,86.4281045081734,90.6153555314124,,
"Europe_Eastern","Grassland",18032359.841,35698944.861,35199406.861,31464274.4015115,33286760.0952088,89.3886494331046,94.5662528537935,91.2213309794367,94.2059957558984,,
"Europe_Eastern","Other",474434,35698944.861,35199406.861,31464274.4015115,33286760.0952088,89.3886494331046,94.5662528537935,,,1.3289860578437,
"Europe_Eastern","Unknown",25104,35698944.861,35199406.861,31464274.4015115,33286760.0952088,89.3886494331046,94.5662528537935,,,,0.0703214061304802
"Europe_Non_EU","Forest",14890710.94,65977874.79,65495084.79,56463320.0949672,57064503.755723,86.2100114474365,87.1279179784127,85.2119976314329,86.83178323742,,
"Europe_Non_EU","Shrubland",7640102,65977874.79,65495084.79,56463320.0949672,57064503.755723,86.2100114474365,87.1279179784127,86.1119906992908,86.3936150610129,,
"Europe_Non_EU","Grassland",42964271.85,65977874.79,65495084.79,56463320.0949672,57064503.755723,86.2100114474365,87.1279179784127,86.573337138529,87.3611304962514,,
"Europe_Non_EU","Other",171252,65977874.79,65495084.79,56463320.0949672,57064503.755723,86.2100114474365,87.1279179784127,,,0.259559739602216,
"Europe_Non_EU","Unknown",311538,65977874.79,65495084.79,56463320.0949672,57064503.755723,86.2100114474365,87.1279179784127,,,,0.472185563708425
"European Free Trade Association","Forest",12573977.79,42207971.099,23225934.449,12226818.6974,13472204.2612168,52.642957054098,58.0050042369636,65.9124874885442,71.6706140971902,,
"European Free Trade Association","Shrubland",576672.954,42207971.099,23225934.449,12226818.6974,13472204.2612168,52.642957054098,58.0050042369636,1.70496968866664,1.96681165873206,,
"European Free Trade Association","Grassland",10075283.705,42207971.099,23225934.449,12226818.6974,13472204.2612168,52.642957054098,58.0050042369636,38.9980587716413,44.1577152768374,,
"European Free Trade Association","Other",18465278.65,42207971.099,23225934.449,12226818.6974,13472204.2612168,52.642957054098,58.0050042369636,,,43.7483209194992,
"European Free Trade Association","Unknown",516758,42207971.099,23225934.449,12226818.6974,13472204.2612168,52.642957054098,58.0050042369636,,,,1.22431376478137
"Global","Forest",2712027092.96246,11043924019.8903,8910848765.66129,5361922932.64791,5981812359.54313,60.1729764880595,67.1295464310262,64.8450948499816,74.8654151102916,,
"Global","Shrubland",1181136684.87306,11043924019.8903,8910848765.66129,5361922932.64791,5981812359.54313,60.1729764880595,67.1295464310262,36.9980804427349,44.2747310600607,,
"Global","Grassland",5017684987.82577,11043924019.8903,8910848765.66129,5361922932.64791,5981812359.54313,60.1729764880595,67.1295464310262,63.1029747529691,68.3282616611521,,
"Global","Other",2107053143.229,11043924019.8903,8910848765.66129,5361922932.64791,5981812359.54313,60.1729764880595,67.1295464310262,,,19.0788449778735,
"Global","Unknown",26022111,11043924019.8903,8910848765.66129,5361922932.64791,5981812359.54313,60.1729764880595,67.1295464310262,,,,0.235623777863138
"India","Forest",42430273.43,119986859.822,106159165.822,89751592.7623783,94666145.2630385,84.5443651213945,89.1737840345956,88.5838536857518,92.9279943012657,,
"India","Shrubland",20952723,119986859.822,106159165.822,89751592.7623783,94666145.2630385,84.5443651213945,89.1737840345956,81.200283002439,84.6275855402504,,
"India","Grassland",42776169.392,119986859.822,106159165.822,89751592.7623783,94666145.2630385,84.5443651213945,89.1737840345956,82.1755467018036,87.6767605450292,,
"India","Other",13104289,119986859.822,106159165.822,89751592.7623783,94666145.2630385,84.5443651213945,89.1737840345956,,,10.9214367468572,
"India","Unknown",723405,119986859.822,106159165.822,89751592.7623783,94666145.2630385,84.5443651213945,89.1737840345956,,,,0.602903518829619
"Indonesia","Forest",102277536.27,133926893.811,131102915.811,106594283.830547,120390792.137198,81.3058070990692,91.829225454265,83.19110718873,93.8525128550421,,
"Indonesia","Grassland",28825379.541,133926893.811,131102915.811,106594283.830547,120390792.137198,81.3058070990692,91.829225454265,74.6164294960489,84.6502445071703,,
