"Region","Total_land_ha","Convertible_area_ha","Suitable_unprotected_area_ha","Unsuitable_unprotected_area_ha","Suitable_unprotected_percent_convertible","Unsuitable_unprotected_percent_convertible","Needed_unprotected_percent_convertible","Needed_suitable_unprot_percent_conv_after_unsuit_unprot","Needed_unsuitable_unprot_percent_conv_after_suit_unprot"
"Africa_Eastern",582459978.0592,383969434.3192,279748005.620622,67404621.1831535,72.8568423985704,17.554684086421,20.2524654385843,2.69778135216327,-52.6043769599861
"Africa_Northern",576372526.19,82232826.6,23249310.4413748,58065369.475371,28.272542003773,70.6109371113008,117.641102304668,47.0301651933668,89.3685603008947
"Africa_Southern",559406438.933154,483291209.61506,401504639.382126,17528752.060372,83.0771657738039,3.62695445554112,8.39567843685638,4.76872398131527,-74.6814873369475
"Africa_Western",1133485060.7665,700405616.9665,609332642.287078,30710101.1849049,86.9971096071638,4.38461663370323,20.4204028199529,16.0357861862496,-66.5767067872109
"Argentina",276287985.618818,202307540.5361,112785211.582888,75613994.4380623,55.7493859517127,37.3757667349872,18.0809707221782,-19.294796012809,-37.6684152295345
"Australia_NZ",793570088.843784,715958658.59,398560662.128672,167684330.485658,55.6681111886533,23.4209515415168,0.935757772901002,-22.4851937686158,-54.7323534157523
"Brazil",844011796.565,694535514.665,558756246.484863,18107862.2564471,80.4503491451221,2.60719025508453,6.99499910704776,4.38780885196323,-73.4553500380743
"Canada",912135615.4522,601536874.5222,175553314.645604,366214169.161027,29.1841318597544,60.8797539555511,14.863444070566,-46.0163098849851,-14.3206877891885
"Central America and Caribbean",71536074.2859499,49228456.837,37487095.9803834,1969631.33671996,76.1492404779346,4.00100158175096,7.39186886715743,3.39086728540647,-68.7573716107772
"Central Asia",562465738.055846,487027937.96436,162834536.891524,297310935.946337,33.4343318315838,61.0459714465279,15.5959806133061,-45.4499908332218,-17.8383512182777
"China",929661075.943,620467200.483,339205974.111185,280396135.919025,54.6694448710796,45.1911294748138,29.7770725068393,-15.4140569679745,-24.8923723642403
"Colombia",113776857.996872,105036134.5,82875842.8712457,7370501.92349481,78.9022209030795,7.01711078628356,7.27685211478581,0.259741328502245,-71.6253687882937
"EU-12",107398747.349384,57377462.328,47560055.9581516,3005503.07744141,82.8897863873329,5.23812478889422,21.9822734542446,16.7441486653504,-60.9075129330883
"EU-15",524276191.157983,191941995.8534,136038529.992054,24113442.8494667,70.8748126678626,12.5628801254541,-11.3823038329196,-23.9451839583737,-82.2571165007822
"Europe_Eastern",82544122.865664,35199406.861,31464274.4015115,1762057.20758164,89.3886494331046,5.0059286923211,39.3764759165348,34.3705472242137,-50.0121735165697
"Europe_Non_EU",103371547.46,65495084.79,56463320.0949672,8170506.60608804,86.2100114474365,12.4749920277003,29.9777831614373,17.502791133737,-56.2322282859992
"European Free Trade Association",47125778.463018,23225934.449,12226818.6974,8438737.7263537,52.642957054098,36.3332538670668,5.52859430359671,-30.8046595634701,-47.1143627505013
"Global",13197896521.5768,8910851828.17389,5361924863.72504,2615799853.59122,60.1729774786735,29.3552165834552,15.7496266546997,-13.6055899287555,-44.4233508239738
"India",314002431.682,106159165.822,89751592.7623783,10281045.3128773,84.5443651213945,9.68455736560307,47.92787331095,38.2433159453469,-36.6164918104445
"Indonesia",189353918.63031,131102915.811,106594283.830547,8309366.26487943,81.3058070990692,6.33804840531414,15.2679678805398,8.92991947522561,-66.0378392185294
"Japan",40427358.545156,30816372.14,20396178.20053,2814948.95440869,66.1861756726889,9.13458904773171,-4.509871847713,-13.6444608954447,-70.6960475204019
"Mexico",193865791.715462,155521259.5901,123924943.873218,13672698.8249808,79.6836035149414,8.79153040620766,12.9837614884705,4.19223108226288,-66.6998420264708
"Middle East",516222491.956528,303966336.6631,126960256.515442,157096490.196494,41.7678674254506,51.682200049215,23.8825307716626,-27.7996692775524,-17.885336653788
"Pakistan",86887881.620441,25948323.896001,19571069.2664039,4936015.22575965,75.4232502447687,19.0224819357999,53.0154744579207,33.9929925221207,-22.407775786848
"Russia",1634875712.8749,1167553544.0249,329665311.592621,750280807.851938,28.2355625812387,64.2609336155582,17.6576622697158,-46.6032713458424,-10.5779003115229
"South Africa",121959919.862,101597084.522,74638337.432878,26874872.7715522,73.4650386711793,26.4524054976525,23.8963973698862,-2.55600812776631,-49.568641301293
"South America_Northern",134994370.12824,126577581.53,77485195.1579227,7067603.38291455,61.2155756345827,5.58361385759252,-12.3919515850813,-17.9755654426739,-73.607527219664
"South America_Southern",392521293.189,305618844.679,242522355.362115,37530893.7419982,79.3545161185474,12.2802943586211,14.8348094551093,2.55451509648816,-64.5197066634381
"South Asia",102742484.56644,65752983.76,33021361.2933501,28416590.0361289,50.2203237101435,43.2171871315378,21.700205877368,-21.5169812541698,-28.5201178327754
"South Korea",10410426.962166,7668444.618,5884465.39789204,846766.381392685,76.736100878652,11.042218123413,12.2321576873894,1.1899395639764,-64.5039431912626
"Southeast Asia",322495295.61295,225681034.53987,186347625.952284,12258789.7171222,82.5712387982532,5.4319095718947,15.3957554141598,9.96384584226513,-67.1754833840934
"Taiwan",3545869.7037224,2689739.757,1573970.0054283,450526.071874699,58.5175573708226,16.7498015635978,1.08932366688103,-15.6604778967168,-57.4282337039416
"USA",913705650.5211,654960906.9411,425563234.59705,145347307.579352,64.9753641915182,22.1917531319809,11.110696661568,-11.0810564704129,-53.8646675299502
