"Availability","region","year","policy","reg_man_sum_pct","reg_unman_sum_pct","reg_all_sum_pct"
90,"Africa_Eastern",2050,"CORE",-24.4711472240974,24.4759448526496,0.00479762855220733
80,"Africa_Eastern",2050,"CORE",-31.1651878546939,31.1576553410094,-0.00753251368448926
70,"Africa_Eastern",2050,"CORE",-40.504357519814,40.5118135082301,0.00745598841613648
60,"Africa_Eastern",2050,"CORE",-54.0699156234609,54.0668445789403,-0.00307104452060791
50,"Africa_Eastern",2050,"CORE",-74.7053610697151,74.7071929120108,0.00183184229572531
40,"Africa_Eastern",2050,"CORE",-108.042327273817,108.040271390752,-0.00205588306511584
30,"Africa_Eastern",2050,"CORE",-166.40421701487,166.403939557555,-0.000277457315344121
20,"Africa_Eastern",2050,"CORE",-280.251833166859,280.250482922927,-0.00135024393188843
10,"Africa_Eastern",2050,"CORE",-518.872059080152,518.874436749294,0.00237766914186466
0,"Africa_Eastern",2050,"CORE",-903.277870373264,903.272589755737,-0.00528061752629583
90,"Africa_Northern",2050,"CORE",-18.773047387477,18.7622646375141,-0.0107827499628677
80,"Africa_Northern",2050,"CORE",-22.3299290139688,22.3312323791626,0.00130336519383689
70,"Africa_Northern",2050,"CORE",-26.8297029522764,26.8220871298626,-0.00761582241388148
60,"Africa_Northern",2050,"CORE",-32.6845773120481,32.6937306080636,0.00915329601551979
50,"Africa_Northern",2050,"CORE",-40.5610190434098,40.5574559199215,-0.00356312348827947
40,"Africa_Northern",2050,"CORE",-51.4670857702943,51.4882425311158,0.0211567608215514
30,"Africa_Northern",2050,"CORE",-67.4035307492648,67.385550285827,-0.0179804634377858
20,"Africa_Northern",2050,"CORE",-93.2044158594446,93.211334851525,0.00691899208042823
10,"Africa_Northern",2050,"CORE",-146.169968601517,146.155958987794,-0.0140096137229007
0,"Africa_Northern",2050,"CORE",-385.460017370873,385.467562561932,0.00754519105886686
90,"Africa_Southern",2050,"CORE",-2.24111196401597,2.24301513208049,0.00190316806452179
80,"Africa_Southern",2050,"CORE",-3.0686912823028,3.05986469147138,-0.00882659083141782
70,"Africa_Southern",2050,"CORE",-3.95060920173619,3.95691628971209,0.00630708797589552
60,"Africa_Southern",2050,"CORE",-5.59233784609135,5.60074462383768,0.00840677774632301
50,"Africa_Southern",2050,"CORE",-8.53162376983664,8.52386045937306,-0.00776331046358181
40,"Africa_Southern",2050,"CORE",-13.6425608970748,13.6436958273082,0.0011349302334972
30,"Africa_Southern",2050,"CORE",-23.4553332748171,23.4553379711348,4.69631770644297e-06
20,"Africa_Southern",2050,"CORE",-46.324361460477,46.3266422781272,0.0022808176501431
10,"Africa_Southern",2050,"CORE",-117.933641414961,117.926807606939,-0.00683380802183733
0,"Africa_Southern",2050,"CORE",-490.531506207476,490.532127412062,0.000621204585392832
90,"Africa_Western",2050,"CORE",-16.8677841652986,16.8761641715535,0.00838000625492568
80,"Africa_Western",2050,"CORE",-21.4289492403514,21.4305918633397,0.00164262298829421
