"region","GCAM_basin_ID","unit_id","convertible_unit_ha","low_avail_ha","high_avail_ha","suit_prot_ha","unsuit_prot_ha","low_avail_pcnt_conv","high_avail_pcnt_conv","suit_prot_pcnt_conv","unsuit_prot_pcnt_conv"
"Africa_Eastern",87,2087,155144360.71,121433666.112067,134856858.243584,13423192.1315174,275848.733740921,78.2714019100276,86.9234676828909,8.65206577286322,0.177801328052487
"Africa_Eastern",100,2100,54744204.7399,19425764.3159731,19525722.2245556,99957.9085824937,388481.556791554,35.4846040932891,35.6671949429643,0.182590849675162,0.709630468900412
"Africa_Eastern",144,2144,4408786,2153045.01322077,2153045.01322077,0,0,48.8353259428052,48.8353259428052,0,0
"Africa_Eastern",151,2151,7233330.45,7224625.98766558,7224625.98766558,0,0,99.879661763076,99.879661763076,0,0
"Africa_Eastern",170,2170,72105556.68,59086257.6787813,68732840.6481206,9646582.9693393,110643.959969212,81.9441113824313,95.3225296535089,13.3784182710776,0.153447203050165
"Africa_Eastern",171,2171,16981506.909,12326075.3772696,14870876.8179061,2544801.44063652,372747.037986521,72.5852861193192,87.5710082597248,14.9857221404056,2.19501743858179
"Africa_Eastern",177,2177,42972676,39548604.7685928,42200834.6899844,2652229.92139159,107823.274788748,92.0319804347134,98.2038788787191,6.17189844400565,0.250911241340306
"Africa_Eastern",179,2179,29529654.8,18082348.0394738,24885249.858116,6802901.81864219,399095.485449535,61.2345391842298,84.2720649010634,23.0375257168336,1.35150745294027
"Africa_Eastern",183,2183,849358.0303,693331.034370244,831235.618579128,137904.584208884,1117.80982319739,81.6300087402898,97.8663400975356,16.2363313572458,0.131606434897963
"Africa_Northern",75,3075,38612,19911.0268773577,19911.0268773577,0,0,51.5669400118037,51.5669400118037,0,0
"Africa_Northern",80,3080,21147726,10734372.6410352,10895571.543238,161198.902202826,60906.4277876718,50.7589924374619,51.5212441434033,0.762251705941461,0.288004619445475
"Africa_Northern",86,3086,15152485.4,6336669.72080585,6499333.98081396,162664.260008115,275334.123455165,41.8193421971939,42.8928575691877,1.07351537199379,1.81708885497534
"Africa_Northern",87,3087,209065.2,139387.558064416,148789.857836546,9402.29977212989,9674.21855511089,66.6718124606181,71.1691174985345,4.49730503791635,4.62736914374601
