"region","year","policy","agg.land","hist_value_thkm2","low_avail_percent_conv","needed_percent_conv","final_avail_percent_conv","area_change_via_protection","percent_change_via_protection"
"Africa_Eastern",2050,"CORE","Biomass",342.188504317699,72.8568423985704,20.2524654385843,52.6043769599861,-13.149840611068,-11.726
"Africa_Eastern",2050,"CORE","Crops",8617.47301188619,72.8568423985704,20.2524654385843,52.6043769599861,-59.2163076074051,-7.394
"Africa_Eastern",2050,"CORE","Forests (Harvested)",1912.020431,72.8568423985704,20.2524654385843,52.6043769599861,-10.594634874032,-4.048
"Africa_Eastern",2050,"CORE","Forests (Unmanaged)",14.11578308657,74.5275451162047,20.2524654385843,54.2750796776204,0.0380926983879841,4.195
"Africa_Eastern",2050,"CORE","Grassland",37721.415947718,76.0110861396997,20.2524654385843,55.7586207011154,107.63661685817,4.105
"Africa_Eastern",2050,"CORE","Grazed Pasture",3466.156167,72.8568423985704,20.2524654385843,52.6043769599861,-37.9696578962392,-6.643
"Africa_Eastern",2050,"CORE","Shrubland",6692.838030162,54.6070781639994,20.2524654385843,34.3546127254151,7.25731949850325,1.375
"Africa_Northern",2050,"CORE","Biomass",12.00258333994,28.272542003773,117.641102304668,-89.368560300895,-2.36665216338428,-40.66
"Africa_Northern",2050,"CORE","Crops",3544.65487814414,28.272542003773,117.641102304668,-89.368560300895,-186.035753265609,-61.498
"Africa_Northern",2050,"CORE","Forests (Harvested)",401.6333615,28.272542003773,117.641102304668,-89.368560300895,-14.9718174555136,-34.583
"Africa_Northern",2050,"CORE","Forests (Unmanaged)",0,0,117.641102304668,-117.641102304668,0,
"Africa_Northern",2050,"CORE","Grassland",9034.939096353,27.0305136967299,117.641102304668,-90.6105886079381,243.834917628767,33.756
"Africa_Northern",2050,"CORE","Grazed Pasture",401.50772,28.272542003773,117.641102304668,-89.368560300895,-54.5075036662164,-122.086
"Africa_Northern",2050,"CORE","Shrubland",677.9884517448,44.9490750015016,117.641102304668,-72.6920273031664,12.8382995790415,23.728
"Africa_Southern",2050,"CORE","Biomass",283.879855484507,83.0771657738039,8.39567843685638,74.6814873369475,0.83564299986366,0.953
"Africa_Southern",2050,"CORE","Crops",5862.67105490942,83.0771657738039,8.39567843685638,74.6814873369475,-3.29341289472192,-0.59
"Africa_Southern",2050,"CORE","Forests (Harvested)",845.0923362,83.0771657738039,8.39567843685638,74.6814873369475,-0.3214553260522,-0.279
"Africa_Southern",2050,"CORE","Forests (Unmanaged)",6086.0649429102,89.9553357826332,8.39567843685638,81.5596573457768,0.371042963815294,0.078
"Africa_Southern",2050,"CORE","Grassland",47218.865532386,85.0778579879372,8.39567843685638,76.6821795510808,3.14394762151826,0.084
"Africa_Southern",2050,"CORE","Grazed Pasture",892.5757131,83.0771657738039,8.39567843685638,74.6814873369475,-0.718396940816243,-0.529
"Africa_Southern",2050,"CORE","Shrubland",3967.03028320147,48.3661583349744,8.39567843685638,39.970479898118,-0.310846717603528,-0.095
"Africa_Western",2050,"CORE","Biomass",1008.22269579218,86.9971096071638,20.4204028199529,66.5767067872109,-21.7474828929647,-6.986
"Africa_Western",2050,"CORE","Crops",16705.5854740863,86.9971096071638,20.4204028199529,66.5767067872109,-48.9378826742043,-3.012
"Africa_Western",2050,"CORE","Forests (Harvested)",2521.7942279,86.9971096071638,20.4204028199529,66.5767067872109,-4.63288519413816,-1.249
"Africa_Western",2050,"CORE","Forests (Unmanaged)",24169.6215521222,90.895507829147,20.4204028199529,70.4751050091941,5.2419187573916,0.284
"Africa_Western",2050,"CORE","Grassland",54105.8980278718,87.392998914618,20.4204028199529,66.9725960946651,76.4056331547223,1.959
"Africa_Western",2050,"CORE","Grazed Pasture",1733.87448552,86.9971096071638,20.4204028199529,66.5767067872109,-13.0866399121814,-4.137
"Africa_Western",2050,"CORE","Shrubland",3240.907713918,51.2769925690909,20.4204028199529,30.856589749138,17.7456313840919,6.962
"Argentina",2050,"CORE","Biomass",67.8448260861104,55.7493859517127,18.0809707221782,37.6684152295345,-1.10337170259473,-3.769
"Argentina",2050,"CORE","Crops",5752.91832902334,55.7493859517127,18.0809707221782,37.6684152295345,-16.0053931832525,-3.134
"Argentina",2050,"CORE","Forests (Harvested)",121.67630703,55.7493859517127,18.0809707221782,37.6684152295345,-0.158216784921167,-1.305
"Argentina",2050,"CORE","Forests (Unmanaged)",1648.6814988244,77.0004021179514,18.0809707221782,58.9194313957732,0.452290660485664,0.343
"Argentina",2050,"CORE","Grassland",20236.7612150246,50.6186707235633,18.0809707221782,32.5377000013851,21.3243610241866,1.321
"Argentina",2050,"CORE","Grazed Pasture",1272.3891899,55.7493859517127,18.0809707221782,37.6684152295345,-2.49999728811455,-1.883
