"land_types","full_avail_change","thresh_frac","thresh_val","avail_ceiling","avail_floor","change_ceiling","change_floor"
"Biomass",314.338819665892,0.9,282.904937699303,"80 percent","70 percent",291.888566444429,279.278366603098
"Crops",6.57164029107795,0.9,5.91447626197015,"90 percent","80 percent",6.26941383605131,5.90847960725629
"Forests (Harvested)",24.797589001378,0.9,22.3178301012402,"40 percent","30 percent",22.9867043005616,22.1974924666357
"Forests (Unmanaged)",5.30724393581555,0.9,4.77651954223399,"80 percent","70 percent",4.87928169117815,4.63205396657337
"Grassland",5.92700319525592,0.9,5.33430287573033,"70 percent","60 percent",5.51892206334487,5.31752813401998
"Grazed Pasture",43.9235929919704,0.9,39.5312336927734,"40 percent","30 percent",40.4155547759093,38.6069035434479
"Shrubland",2.79883891296386,0.9,2.51895502166747,"70 percent","60 percent",2.59990763579959,2.5093469185646
