,region,year,policy,agg.land,hist_value,Protection,value
1,Africa_Eastern,2050,CORE,Biomass,342.1885043,10,3.648939258
2,Africa_Eastern,2050,CORE,Crops,8617.473012,10,-59.71251683
3,Africa_Eastern,2050,CORE,desert,914.44174,10,0
4,Africa_Eastern,2050,CORE,Forests (Harvested),1912.020431,10,-8.97618
5,Africa_Eastern,2050,CORE,Forests (Unmanaged),14.11578309,10,0.329696895
6,Africa_Eastern,2050,CORE,Grassland,37721.41595,10,98.90687922
7,Africa_Eastern,2050,CORE,Grazed Pasture,3466.156167,10,-28.921968
8,Africa_Eastern,2050,CORE,Shrubland,6692.83803,10,-5.25642912
9,Africa_Eastern,2050,CORE,urban,8.2136,10,0
10,Africa_Northern,2050,CORE,Biomass,12.00258334,10,0.533872871
11,Africa_Northern,2050,CORE,Crops,3544.654878,10,-14.42346118
12,Africa_Northern,2050,CORE,desert,4577.42712,10,0
13,Africa_Northern,2050,CORE,Forests (Harvested),401.6333615,10,-0.8245392
14,Africa_Northern,2050,CORE,Forests (Unmanaged),0,10,0
15,Africa_Northern,2050,CORE,Grassland,9034.939096,10,16.3247971
16,Africa_Northern,2050,CORE,Grazed Pasture,401.50772,10,-0.72348
17,Africa_Northern,2050,CORE,Shrubland,677.9884517,10,-0.89605655
18,Africa_Northern,2050,CORE,urban,10.89136,10,0
19,Africa_Southern,2050,CORE,Biomass,283.8798555,10,5.604897263
20,Africa_Southern,2050,CORE,Crops,5862.671055,10,-12.76547038
21,Africa_Southern,2050,CORE,desert,153.7390858,10,0
22,Africa_Southern,2050,CORE,Forests (Harvested),845.0923362,10,-1.178292
23,Africa_Southern,2050,CORE,Forests (Unmanaged),6086.064943,10,1.364304418
24,Africa_Southern,2050,CORE,Grassland,47218.86553,10,10.13897405
25,Africa_Southern,2050,CORE,Grazed Pasture,892.5757131,10,-2.492232
26,Africa_Southern,2050,CORE,Shrubland,3967.030283,10,-0.662983502
27,Africa_Southern,2050,CORE,urban,9.1793989,10,0
28,Africa_Western,2050,CORE,Biomass,1008.222696,10,-8.22197542
29,Africa_Western,2050,CORE,Crops,16705.58547,10,-84.75375257
30,Africa_Western,2050,CORE,desert,2678.29155,10,0
31,Africa_Western,2050,CORE,Forests (Harvested),2521.794228,10,-6.104076
32,Africa_Western,2050,CORE,Forests (Unmanaged),24169.62155,10,4.333266838
33,Africa_Western,2050,CORE,Grassland,54105.89803,10,113.5467341
34,Africa_Western,2050,CORE,Grazed Pasture,1733.874486,10,-19.06310376
35,Africa_Western,2050,CORE,Shrubland,3240.907714,10,0.321600804
36,Africa_Western,2050,CORE,urban,24.14843,10,0
37,Argentina,2050,CORE,Biomass,67.84482609,10,1.368516781
38,Argentina,2050,CORE,Crops,5752.918329,10,-16.96223188
39,Argentina,2050,CORE,desert,159.6334102,10,0
40,Argentina,2050,CORE,Forests (Harvested),121.676307,10,-0.0646128
41,Argentina,2050,CORE,Forests (Unmanaged),1648.681499,10,0.211938562
42,Argentina,2050,CORE,Grassland,20236.76122,10,15.53465945
43,Argentina,2050,CORE,Grazed Pasture,1272.38919,10,-0.1868472
44,Argentina,2050,CORE,Shrubland,2066.590832,10,0.098270266
45,Argentina,2050,CORE,urban,5.58801199,10,0
46,Australia_NZ,2050,CORE,Biomass,125.3161234,10,1.469494688
47,Australia_NZ,2050,CORE,Crops,6293.392762,10,-7.313862656
48,Australia_NZ,2050,CORE,desert,14.034923,10,0
49,Australia_NZ,2050,CORE,Forests (Harvested),636.5589141,10,0.114498
50,Australia_NZ,2050,CORE,Forests (Unmanaged),1909.071942,10,1.83028234
51,Australia_NZ,2050,CORE,Grassland,55676.84294,10,3.224440476
52,Australia_NZ,2050,CORE,Grazed Pasture,2600.801788,10,5.96418
53,Australia_NZ,2050,CORE,Shrubland,27572.01056,10,-5.270882652
54,Australia_NZ,2050,CORE,urban,13.9596377,10,0
55,Brazil,2050,CORE,Biomass,189.866062,10,-5.817865784
56,Brazil,2050,CORE,Crops,10897.51472,10,-15.4927963
57,Brazil,2050,CORE,desert,7.61083,10,0
58,Brazil,2050,CORE,Forests (Harvested),1670.092971,10,-0.5293908
59,Brazil,2050,CORE,Forests (Unmanaged),46820.98514,10,0.504614676
60,Brazil,2050,CORE,Grassland,28731.91025,10,30.81426584
61,Brazil,2050,CORE,Grazed Pasture,5687.045962,10,-8.6748024
62,Brazil,2050,CORE,Shrubland,6756.593634,10,-0.854655708
63,Brazil,2050,CORE,urban,32.59289,10,0
64,Canada,2050,CORE,Biomass,299.4386572,10,-106.8086401
65,Canada,2050,CORE,Crops,5903.445188,10,-18.39825376
66,Canada,2050,CORE,desert,2396.92824,10,0
67,Canada,2050,CORE,Forests (Harvested),2527.245777,10,0.4647132
68,Canada,2050,CORE,Forests (Unmanaged),45898.0307,10,96.65548895
69,Canada,2050,CORE,Grassland,15009.87087,10,21.57154037
70,Canada,2050,CORE,Grazed Pasture,307.6020063,10,-0.0071388
71,Canada,2050,CORE,Shrubland,10567.22658,10,6.513635868
72,Canada,2050,CORE,urban,4.21832,10,0
73,Central America and Caribbean,2050,CORE,Biomass,36.76216781,10,1.312808978
74,Central America and Caribbean,2050,CORE,Crops,1686.864404,10,-5.038521953
75,Central America and Caribbean,2050,CORE,Forests (Harvested),363.572111,10,-0.319284
76,Central America and Caribbean,2050,CORE,Forests (Unmanaged),3430.734667,10,1.981791264
77,Central America and Caribbean,2050,CORE,Grassland,2316.086127,10,3.390889753
78,Central America and Caribbean,2050,CORE,Grazed Pasture,411.0713399,10,-1.34808
79,Central America and Caribbean,2050,CORE,Shrubland,53.97057289,10,0.020425063
80,Central America and Caribbean,2050,CORE,urban,7.1515458,10,0
81,Central Asia,2050,CORE,Biomass,85.03496232,10,6.78386482
82,Central Asia,2050,CORE,Crops,4432.862393,10,-0.808695572
83,Central Asia,2050,CORE,desert,312.4237211,10,0
84,Central Asia,2050,CORE,Forests (Harvested),84.44813373,10,-0.01325484
85,Central Asia,2050,CORE,Forests (Unmanaged),363.528349,10,0.280118787
86,Central Asia,2050,CORE,Grassland,50500.44651,10,-5.151547654
87,Central Asia,2050,CORE,Grazed Pasture,862.9541039,10,0.7387404
88,Central Asia,2050,CORE,Shrubland,7227.84614,10,-1.802476417
89,Central Asia,2050,CORE,urban,9.639523,10,0
90,China,2050,CORE,Biomass,31.15726203,10,-7.342361528
91,China,2050,CORE,Crops,14954.39678,10,-0.705599458
