,region,Availability,policy,output,year,value
124541,Global,0 percent,CORE,biomass,1975,6.819520096
124542,Global,10 percent,CORE,biomass,1975,6.819520096
124543,Global,100 percent,CORE,biomass,1975,6.819520096
124544,Global,20 percent,CORE,biomass,1975,6.819520096
124545,Global,30 percent,CORE,biomass,1975,6.819520096
124546,Global,40 percent,CORE,biomass,1975,6.819520096
124547,Global,50 percent,CORE,biomass,1975,6.819520096
124548,Global,60 percent,CORE,biomass,1975,6.819520096
124549,Global,70 percent,CORE,biomass,1975,6.819520096
124550,Global,80 percent,CORE,biomass,1975,6.819520096
124551,Global,90 percent,CORE,biomass,1975,6.819520096
124552,Global,High Availability,CORE,biomass,1975,6.819520096
124553,Global,Low Availability,CORE,biomass,1975,6.819520096
124554,Global,0 percent,CORE,Corn,1975,343.5271905
124555,Global,10 percent,CORE,Corn,1975,343.5271905
124556,Global,100 percent,CORE,Corn,1975,343.5271905
124557,Global,20 percent,CORE,Corn,1975,343.5271905
124558,Global,30 percent,CORE,Corn,1975,343.5271905
124559,Global,40 percent,CORE,Corn,1975,343.5271905
124560,Global,50 percent,CORE,Corn,1975,343.5271905
124561,Global,60 percent,CORE,Corn,1975,343.5271905
124562,Global,70 percent,CORE,Corn,1975,343.5271905
124563,Global,80 percent,CORE,Corn,1975,343.5271905
124564,Global,90 percent,CORE,Corn,1975,343.5271905
124565,Global,High Availability,CORE,Corn,1975,343.5271905
124566,Global,Low Availability,CORE,Corn,1975,343.5271905
124567,Global,0 percent,CORE,FiberCrop,1975,44.22622085
124568,Global,10 percent,CORE,FiberCrop,1975,44.22622085
124569,Global,100 percent,CORE,FiberCrop,1975,44.22622085
124570,Global,20 percent,CORE,FiberCrop,1975,44.22622085
124571,Global,30 percent,CORE,FiberCrop,1975,44.22622085
124572,Global,40 percent,CORE,FiberCrop,1975,44.22622085
124573,Global,50 percent,CORE,FiberCrop,1975,44.22622085
124574,Global,60 percent,CORE,FiberCrop,1975,44.22622085
124575,Global,70 percent,CORE,FiberCrop,1975,44.22622085
124576,Global,80 percent,CORE,FiberCrop,1975,44.22622085
124577,Global,90 percent,CORE,FiberCrop,1975,44.22622085
124578,Global,High Availability,CORE,FiberCrop,1975,44.22622085
124579,Global,Low Availability,CORE,FiberCrop,1975,44.22622085
124580,Global,0 percent,CORE,FodderGrass,1975,229.2765569
124581,Global,10 percent,CORE,FodderGrass,1975,229.2765569
124582,Global,100 percent,CORE,FodderGrass,1975,229.2765569
124583,Global,20 percent,CORE,FodderGrass,1975,229.2765569
124584,Global,30 percent,CORE,FodderGrass,1975,229.2765569
124585,Global,40 percent,CORE,FodderGrass,1975,229.2765569
124586,Global,50 percent,CORE,FodderGrass,1975,229.2765569
124587,Global,60 percent,CORE,FodderGrass,1975,229.2765569
124588,Global,70 percent,CORE,FodderGrass,1975,229.2765569
124589,Global,80 percent,CORE,FodderGrass,1975,229.2765569
124590,Global,90 percent,CORE,FodderGrass,1975,229.2765569
124591,Global,High Availability,CORE,FodderGrass,1975,229.2765569
124592,Global,Low Availability,CORE,FodderGrass,1975,229.2765569
124593,Global,0 percent,CORE,FodderHerb,1975,919.7177307
124594,Global,10 percent,CORE,FodderHerb,1975,919.7177307
124595,Global,100 percent,CORE,FodderHerb,1975,919.7177307
124596,Global,20 percent,CORE,FodderHerb,1975,919.7177307
124597,Global,30 percent,CORE,FodderHerb,1975,919.7177307
124598,Global,40 percent,CORE,FodderHerb,1975,919.7177307
124599,Global,50 percent,CORE,FodderHerb,1975,919.7177307
124600,Global,60 percent,CORE,FodderHerb,1975,919.7177307
124601,Global,70 percent,CORE,FodderHerb,1975,919.7177307
124602,Global,80 percent,CORE,FodderHerb,1975,919.7177307
124603,Global,90 percent,CORE,FodderHerb,1975,919.7177307
124604,Global,High Availability,CORE,FodderHerb,1975,919.7177307
124605,Global,Low Availability,CORE,FodderHerb,1975,919.7177307
124606,Global,0 percent,CORE,Forest,1975,2.944318817
124607,Global,10 percent,CORE,Forest,1975,2.944318817
124608,Global,100 percent,CORE,Forest,1975,2.944318817
124609,Global,20 percent,CORE,Forest,1975,2.944318817
124610,Global,30 percent,CORE,Forest,1975,2.944318817
124611,Global,40 percent,CORE,Forest,1975,2.944318817
124612,Global,50 percent,CORE,Forest,1975,2.944318817
124613,Global,60 percent,CORE,Forest,1975,2.944318817
124614,Global,70 percent,CORE,Forest,1975,2.944318817
124615,Global,80 percent,CORE,Forest,1975,2.944318817
124616,Global,90 percent,CORE,Forest,1975,2.944318817
124617,Global,High Availability,CORE,Forest,1975,2.944318817
124618,Global,Low Availability,CORE,Forest,1975,2.944318817
124619,Global,0 percent,CORE,MiscCrop,1975,590.8623117
124620,Global,10 percent,CORE,MiscCrop,1975,590.8623117
124621,Global,100 percent,CORE,MiscCrop,1975,590.8623117
124622,Global,20 percent,CORE,MiscCrop,1975,590.8623117
124623,Global,30 percent,CORE,MiscCrop,1975,590.8623117
124624,Global,40 percent,CORE,MiscCrop,1975,590.8623117
124625,Global,50 percent,CORE,MiscCrop,1975,590.8623117
124626,Global,60 percent,CORE,MiscCrop,1975,590.8623117
124627,Global,70 percent,CORE,MiscCrop,1975,590.8623117
124628,Global,80 percent,CORE,MiscCrop,1975,590.8623117
124629,Global,90 percent,CORE,MiscCrop,1975,590.8623117
124630,Global,High Availability,CORE,MiscCrop,1975,590.8623117
124631,Global,Low Availability,CORE,MiscCrop,1975,590.8623117
124632,Global,0 percent,CORE,OilCrop,1975,110.9671749
124633,Global,10 percent,CORE,OilCrop,1975,110.9671749
124634,Global,100 percent,CORE,OilCrop,1975,110.9671749
124635,Global,20 percent,CORE,OilCrop,1975,110.9671749
124636,Global,30 percent,CORE,OilCrop,1975,110.9671749
124637,Global,40 percent,CORE,OilCrop,1975,110.9671749
124638,Global,50 percent,CORE,OilCrop,1975,110.9671749
124639,Global,60 percent,CORE,OilCrop,1975,110.9671749
124640,Global,70 percent,CORE,OilCrop,1975,110.9671749
