,Availability,region,year,policy,agg.land,value
63779,0 percent,Global,1975,CORE,Biomass,0
63780,10 percent,Global,1975,CORE,Biomass,0
63781,100 percent,Global,1975,CORE,Biomass,0
63782,20 percent,Global,1975,CORE,Biomass,0
63783,30 percent,Global,1975,CORE,Biomass,0
63784,40 percent,Global,1975,CORE,Biomass,0
63785,50 percent,Global,1975,CORE,Biomass,0
63786,60 percent,Global,1975,CORE,Biomass,0
63787,70 percent,Global,1975,CORE,Biomass,0
63788,80 percent,Global,1975,CORE,Biomass,0
63789,90 percent,Global,1975,CORE,Biomass,0
63790,High Availability,Global,1975,CORE,Biomass,0
63791,Low Availability,Global,1975,CORE,Biomass,0
63792,0 percent,Global,1990,CORE,Biomass,0
63793,10 percent,Global,1990,CORE,Biomass,0
63794,100 percent,Global,1990,CORE,Biomass,0
63795,20 percent,Global,1990,CORE,Biomass,0
63796,30 percent,Global,1990,CORE,Biomass,0
63797,40 percent,Global,1990,CORE,Biomass,0
63798,50 percent,Global,1990,CORE,Biomass,0
63799,60 percent,Global,1990,CORE,Biomass,0
63800,70 percent,Global,1990,CORE,Biomass,0
63801,80 percent,Global,1990,CORE,Biomass,0
63802,90 percent,Global,1990,CORE,Biomass,0
63803,High Availability,Global,1990,CORE,Biomass,0
63804,Low Availability,Global,1990,CORE,Biomass,0
63805,0 percent,Global,2005,CORE,Biomass,0
63806,10 percent,Global,2005,CORE,Biomass,0
63807,100 percent,Global,2005,CORE,Biomass,0
63808,20 percent,Global,2005,CORE,Biomass,0
63809,30 percent,Global,2005,CORE,Biomass,0
63810,40 percent,Global,2005,CORE,Biomass,0
63811,50 percent,Global,2005,CORE,Biomass,0
63812,60 percent,Global,2005,CORE,Biomass,0
63813,70 percent,Global,2005,CORE,Biomass,0
63814,80 percent,Global,2005,CORE,Biomass,0
63815,90 percent,Global,2005,CORE,Biomass,0
63816,High Availability,Global,2005,CORE,Biomass,0
63817,Low Availability,Global,2005,CORE,Biomass,0
63818,0 percent,Global,2010,CORE,Biomass,0
63819,10 percent,Global,2010,CORE,Biomass,0
63820,100 percent,Global,2010,CORE,Biomass,0
63821,20 percent,Global,2010,CORE,Biomass,0
63822,30 percent,Global,2010,CORE,Biomass,0
63823,40 percent,Global,2010,CORE,Biomass,0
63824,50 percent,Global,2010,CORE,Biomass,0
63825,60 percent,Global,2010,CORE,Biomass,0
63826,70 percent,Global,2010,CORE,Biomass,0
63827,80 percent,Global,2010,CORE,Biomass,0
63828,90 percent,Global,2010,CORE,Biomass,0
63829,High Availability,Global,2010,CORE,Biomass,0
63830,Low Availability,Global,2010,CORE,Biomass,0
63831,0 percent,Global,2015,CORE,Biomass,0
63832,10 percent,Global,2015,CORE,Biomass,0
63833,100 percent,Global,2015,CORE,Biomass,0
63834,20 percent,Global,2015,CORE,Biomass,0
63835,30 percent,Global,2015,CORE,Biomass,0
63836,40 percent,Global,2015,CORE,Biomass,0
63837,50 percent,Global,2015,CORE,Biomass,0
63838,60 percent,Global,2015,CORE,Biomass,0
63839,70 percent,Global,2015,CORE,Biomass,0
63840,80 percent,Global,2015,CORE,Biomass,0
63841,90 percent,Global,2015,CORE,Biomass,0
63842,High Availability,Global,2015,CORE,Biomass,0
63843,Low Availability,Global,2015,CORE,Biomass,0
63844,0 percent,Global,2020,CORE,Biomass,0
63845,10 percent,Global,2020,CORE,Biomass,0
