"","region","year","policy","agg.land","hist_value","Protection","value","available","new_managed","new_unmanaged","needed_managed"
"1","Africa_Eastern",2050,"CORE","Biomass",342.188504317699,10,3.64893925820388,27.1431576,27.1431576,47.39562304,47.39562304
"2","Africa_Eastern",2050,"CORE","Crops",8617.47301188619,10,-59.71251682599,27.1431576,27.1431576,47.39562304,47.39562304
"3","Africa_Eastern",2050,"CORE","desert",914.44174,10,0,27.1431576,27.1431576,47.39562304,47.39562304
"4","Africa_Eastern",2050,"CORE","Forests (Harvested)",1912.020431,10,-8.97617999999966,27.1431576,27.1431576,47.39562304,47.39562304
"5","Africa_Eastern",2050,"CORE","Forests (Unmanaged)",14.11578308657,10,0.329696895000001,25.47245488,27.1431576,45.72492032,47.39562304
"6","Africa_Eastern",2050,"CORE","Grassland",37721.415947718,10,98.9068792199978,23.98891386,27.1431576,44.2413793,47.39562304
"7","Africa_Eastern",2050,"CORE","Grazed Pasture",3466.156167,10,-28.9219679999997,27.1431576,27.1431576,47.39562304,47.39562304
"8","Africa_Eastern",2050,"CORE","Shrubland",6692.838030162,10,-5.25642911999967,45.39292184,27.1431576,65.64538728,47.39562304
"9","Africa_Eastern",2050,"CORE","urban",8.2136,10,0,27.1431576,27.1431576,47.39562304,47.39562304
"10","Africa_Northern",2050,"CORE","Biomass",12.00258333994,10,0.533872871279996,71.727458,71.727458,189.3685603,189.3685603
"11","Africa_Northern",2050,"CORE","Crops",3544.65487814414,10,-14.4234611769598,71.727458,71.727458,189.3685603,189.3685603
"12","Africa_Northern",2050,"CORE","desert",4577.42712,10,0,71.727458,71.727458,189.3685603,189.3685603
"13","Africa_Northern",2050,"CORE","Forests (Harvested)",401.6333615,10,-0.824539200000004,71.727458,71.727458,189.3685603,189.3685603
"14","Africa_Northern",2050,"CORE","Forests (Unmanaged)",0,10,0,71.727458,71.727458,189.3685603,189.3685603
"15","Africa_Northern",2050,"CORE","Grassland",9034.939096353,10,16.3247970960001,72.9694863,71.727458,190.6105886,189.3685603
"16","Africa_Northern",2050,"CORE","Grazed Pasture",401.50772,10,-0.723479999999995,71.727458,71.727458,189.3685603,189.3685603
