,region,year,policy,agg.land,hist_value,Protection,value
79,Central America and Caribbean,2050,CORE,Shrubland,53.97057289,10,0.03951801
80,Central America and Caribbean,2050,CORE,urban,7.1515458,10,0
81,Central Asia,2050,CORE,Biomass,85.03496232,10,1.577615707
82,Central Asia,2050,CORE,Crops,4432.862393,10,-0.017454814
83,Central Asia,2050,CORE,desert,312.4237211,10,0
84,Central Asia,2050,CORE,Forests (Harvested),84.44813373,10,-0.013193244
85,Central Asia,2050,CORE,Forests (Unmanaged),363.528349,10,0.079849674
86,Central Asia,2050,CORE,Grassland,50500.44651,10,-0.010370982
87,Central Asia,2050,CORE,Grazed Pasture,862.9541039,10,0.063851138
88,Central Asia,2050,CORE,Shrubland,7227.84614,10,-0.024989063
89,Central Asia,2050,CORE,urban,9.639523,10,0
90,China,2050,CORE,Biomass,31.15726203,10,-3.134339524
91,China,2050,CORE,Crops,14954.39678,10,-0.004878709
92,China,2050,CORE,desert,1100.68271,10,0
93,China,2050,CORE,Forests (Harvested),3619.783824,10,0.000641407
94,China,2050,CORE,Forests (Unmanaged),13229.73172,10,0.03866135
95,China,2050,CORE,Grassland,52385.83261,10,0.010072509
96,China,2050,CORE,Grazed Pasture,6450.981615,10,-0.035057794
97,China,2050,CORE,Shrubland,6919.137473,10,0.005738622
98,China,2050,CORE,urban,59.87252,10,0
99,Colombia,2050,CORE,Biomass,4.343355059,10,-1.31854127
100,Colombia,2050,CORE,Crops,436.2841601,10,0.014564414
101,Colombia,2050,CORE,desert,5.425585,10,0
102,Colombia,2050,CORE,Forests (Harvested),87.724325,10,-0.019614781
103,Colombia,2050,CORE,Forests (Unmanaged),7011.885498,10,-0.003914696
104,Colombia,2050,CORE,Grassland,5294.021602,10,0.012938646
105,Colombia,2050,CORE,Grazed Pasture,543.6413,10,-0.020450487
106,Colombia,2050,CORE,Shrubland,171.731998,10,-0.003665207
107,Colombia,2050,CORE,urban,2.3182387,10,0
108,EU-12,2050,CORE,Biomass,175.7927582,10,-3.428319624
109,EU-12,2050,CORE,Crops,4389.585804,10,-0.289666184
110,EU-12,2050,CORE,desert,0.02612,10,0
111,EU-12,2050,CORE,Forests (Harvested),1408.40351,10,-0.164044185
112,EU-12,2050,CORE,Forests (Unmanaged),2873.3044,10,0.741570863
113,EU-12,2050,CORE,Grassland,3712.018612,10,0.552217848
114,EU-12,2050,CORE,Grazed Pasture,89.59960977,10,-0.255847413
115,EU-12,2050,CORE,Shrubland,50.06095873,10,0.165878237
116,EU-12,2050,CORE,urban,14.1534548,10,0
117,EU-15,2050,CORE,Biomass,1132.815861,10,-3.881561803
118,EU-15,2050,CORE,Crops,9269.149488,10,-0.340819907
119,EU-15,2050,CORE,desert,2104.8525,10,0
120,EU-15,2050,CORE,Forests (Harvested),4356.346727,10,-0.297917117
121,EU-15,2050,CORE,Forests (Unmanaged),6525.454631,10,1.929137708
122,EU-15,2050,CORE,Grassland,12587.14849,10,0.514638846
123,EU-15,2050,CORE,Grazed Pasture,0,10,NA
124,EU-15,2050,CORE,Shrubland,2857.697168,10,0.025020361
125,EU-15,2050,CORE,urban,54.52401827,10,0
126,Europe_Eastern,2050,CORE,Biomass,79.42599711,10,-3.601929044
127,Europe_Eastern,2050,CORE,Crops,4932.642187,10,-0.176037872
128,Europe_Eastern,2050,CORE,desert,4.74434,10,0
129,Europe_Eastern,2050,CORE,Forests (Harvested),405.6137283,10,-0.013509596
130,Europe_Eastern,2050,CORE,Forests (Unmanaged),1962.590896,10,0.735880293
131,Europe_Eastern,2050,CORE,Grassland,2111.79642,10,0.598921664
132,Europe_Eastern,2050,CORE,Grazed Pasture,207.9816327,10,-0.063543301
133,Europe_Eastern,2050,CORE,Shrubland,50.63264616,10,0.342562737
134,Europe_Eastern,2050,CORE,urban,7.888652,10,0
135,Europe_Non_EU,2050,CORE,Biomass,70.95225269,10,-3.288697223
